criterion;direction;;;;;
a66;0.072727;0.487179;0;0;0.666667;0
a67;0.072727;0.5;0.333333;0;0.333333;0
a68;0.090909;0.474359;0.666667;0.75;0.666667;1
a69;0.090909;0.846154;1;1;0.666667;0
a70;0.090909;0.423077;1;0.75;0.666667;1
a71;0.072727;0.076923;0.333333;0;0.333333;0
a72;0.072727;0.615385;0;0;0.666667;0
a73;0.090909;0.192308;1;0.75;0.666667;0
a74;0.072727;0.525641;1;0.5;0.333333;0
a75;0.090909;0.282051;1;1;0.666667;1
a76;0.090909;0.628205;1;0.75;0.666667;1
a77;0.090909;0.730769;1;0.5;0.666667;1
a78;0.090909;0.871795;1;0.75;0.666667;0
a79;0.090909;0.615385;1;0.75;0.666667;1
a80;0.090909;0.358974;1;1;0.666667;1
a81;0.072727;0.525641;1;0.75;0.666667;1
a82;0.090909;0.602564;1;0.75;0.666667;1
a83;0.072727;0.448718;0;0;0.666667;0
a84;0.090909;0.628205;0.666667;1;0.666667;1
a85;0.090909;0.794872;1;1;0.666667;1
a86;0.072727;0.474359;0.333333;0;0.666667;0
a87;0.072727;0.371795;0;0;0.333333;0
a88;0.090909;0.564103;1;1;0.666667;1
a89;0.090909;0.576923;1;0.75;0.666667;1
a90;0.072727;0.679487;1;0.75;0.666667;1
a91;0.072727;0.294872;0;0;0.666667;0
a92;0.090909;0.5;1;0.75;1;1
a93;0.090909;0.679487;1;0.75;1;1
a94;0.072727;0.615385;0;0;0.666667;0
a95;0.072727;0.371795;0.333333;0.75;0.333333;0
a96;0.054545;0.205128;1;0.75;0.666667;0
a97;0.072727;0.525641;0.666667;0.75;0.666667;0
a98;0.090909;0.628205;1;0.75;0.666667;1
a99;0.072727;0.294872;0.333333;0;0.666667;0
a100;0.072727;0.064103;0.666667;0;0.666667;0
a101;0.072727;0.307692;0.333333;0;0.666667;0
a102;0.090909;0.884615;1;1;0.666667;1
a103;0.072727;0.641026;0;0;0.666667;1
a104;0.072727;0.589744;0;0;0.666667;0
a105;0.090909;0.461538;0.666667;1;0.666667;1
a106;0.090909;0.871795;1;1;0.666667;1
a107;0.072727;0.038462;0.333333;0;0.666667;0
a108;0.072727;0.448718;1;0.75;0.666667;0
a109;0.072727;0.333333;1;0.75;0.666667;0
a110;0.072727;0.461538;0;0;0.666667;0
a111;0.090909;0.576923;1;1;0.666667;1
a112;0.072727;0.346154;0.333333;0;0.333333;0
a113;0.090909;0.679487;1;1;0.666667;0
a114;0.090909;0.397436;1;0.75;0.666667;1
a115;0.072727;0.397436;1;0.75;0.666667;0
a116;0.090909;0.615385;1;0.75;1;0
a117;0.072727;0.012821;0;0;0.666667;0
a118;0.072727;0.217949;0;0;0.333333;0
a119;0.090909;0.717949;1;1;0.666667;1
a120;0.090909;0.24359;1;0.75;0.666667;1
a121;0.090909;0.807692;0.666667;0.75;0.666667;1
a122;0.090909;0.525641;1;0.75;0.666667;1
a123;0.072727;0.205128;0;0;0.666667;0
a124;0.090909;0.782051;1;0.5;0.666667;1
a125;0.090909;0.538462;0.666667;0;0.666667;0
a126;0.072727;0.294872;0;0;0.666667;1
a127;0.072727;0.410256;0;0;0.666667;0
a128;0.090909;0.858974;1;0.75;0.666667;1
a129;0.072727;0.358974;0;0;0.666667;0
a130;0.090909;0.615385;1;0.75;0.666667;1
a131;0.072727;0.705128;0.666667;0;0.333333;0
a132;0.072727;0.474359;0;0;0.666667;0
a133;0.072727;0.397436;0.333333;0;0.666667;0
a134;0.054545;0.397436;1;0.75;0.666667;0
a135;0.072727;0.423077;1;1;0.666667;1
a136;0.036364;0.384615;1;0.75;0.666667;0
a137;0.072727;0.512821;1;1;0.666667;0
a138;0.090909;0.692308;1;1;0.666667;1
a139;0.072727;0.358974;0.333333;0.5;0.666667;0
a140;0.072727;0.320513;1;0.5;0.666667;1
a141;0.072727;0.358974;0;0;0;0
a142;0.072727;0.653846;0.666667;0;0.666667;0
a143;0.090909;0.320513;0.333333;0;0.666667;1
a144;0.090909;0.74359;1;1;0.666667;1
a145;0.072727;0.358974;0;0;0.666667;0
a146;0.072727;0.525641;0.333333;0.75;0.666667;0
a147;0.072727;0.5;0;0;0.666667;0
a148;0.054545;0.346154;0.333333;0;0.666667;0
a149;0.054545;0.320513;0.333333;0;0.666667;0
a150;0.072727;0.346154;0.333333;0;0.666667;0
a151;0.090909;0.5;1;1;0.666667;1
a152;0.090909;0.782051;1;0.75;0.666667;1
a153;0.090909;0.461538;0.333333;0;0.666667;1
a154;0.072727;0.282051;0.666667;0.75;0.666667;0
a155;0.090909;0.576923;1;0.75;0.666667;1
a156;0.072727;0.435897;0.333333;0;0.666667;0
a157;0.072727;0.25641;0;0;0.666667;0
a158;0.054545;0.692308;1;0.5;0.666667;0
a159;0.090909;0.794872;1;0.5;0.666667;1
a160;0.090909;0.74359;1;0.5;0.666667;1
a161;0.072727;0.564103;0.666667;0;0.666667;0
a162;0.090909;0.589744;1;1;0.666667;1
a163;0.090909;0.307692;1;1;0.666667;0
a164;0.072727;0.589744;1;1;0.666667;0
a165;0.072727;0.576923;1;0.75;0.666667;1
a166;0.072727;0.076923;0.333333;0;0.333333;0
a167;0.090909;0.692308;1;0.75;0.666667;1
a168;0.072727;0.576923;0.333333;0;0.666667;0
a169;0.072727;0.358974;0;0;0.666667;0
a170;0.054545;0.192308;0;0;0.666667;0
a171;0.090909;0.74359;1;0.75;0.666667;1
a172;0.072727;0.230769;0.333333;0.5;0.666667;0
a173;0.072727;0.282051;0.333333;0;0.666667;0
a174;0.090909;0.512821;0;1;0.666667;1
a175;0.072727;0.320513;0.333333;0;0.666667;0
a176;0.054545;0.307692;0;0;0.666667;0
a177;0.072727;0.179487;0;0;0.666667;0
a178;0.090909;0.5;1;0.75;0.333333;1
a179;0.072727;0.24359;0;0;0.666667;0
a180;0.072727;0.666667;1;0.75;0.666667;1
a181;0.090909;0.487179;1;0.25;0.666667;1
a182;0.090909;0.705128;1;0.75;0.666667;1
a183;0.090909;0.75641;1;1;0.666667;1
a184;0.090909;0.628205;1;0.75;0;1
a185;0.090909;0.679487;1;0.5;0.666667;1
a186;0.090909;0.602564;1;0.75;0.666667;1
a187;0.072727;0.320513;0;0;0.666667;0
a188;0.072727;0.397436;0.333333;0;0.666667;0
a189;0.090909;0.74359;1;0.25;0.666667;1
a190;0.072727;0.474359;1;0.75;0.666667;0
a191;0.090909;0.692308;1;1;0.666667;1
a192;0.054545;0.448718;1;0.5;0.666667;0
a193;0.090909;0.730769;1;0.75;0.666667;1
a194;0.090909;0.551282;1;1;0.666667;1
a195;0.090909;0.628205;1;0.75;0.666667;1
a196;0.090909;0.474359;1;0.25;0.666667;1
a197;0.090909;0.615385;1;0.75;0.666667;1
a198;0.036364;0.74359;0;0;0.333333;0
a199;0.072727;0.5;1;0.75;0.666667;1
a200;0.090909;0.679487;0.666667;0;0.666667;0
a201;0.090909;0.666667;1;1;0.666667;1
a202;0.072727;0.576923;0.333333;0;0.666667;0
a203;0.090909;0.282051;0;0.75;0.666667;1
a204;0.072727;0.294872;0;0;0.666667;0
a205;0.072727;0.371795;0.333333;0;0.333333;0
a206;0.072727;0.641026;0;0;0.666667;1
a207;0.072727;0.589744;1;0.5;0.666667;1
a208;0.072727;0.705128;1;0.5;0.666667;0
a209;0.072727;0.269231;1;0.5;0.666667;0
a210;0.090909;0.474359;1;1;1;1
a211;0.090909;0.448718;0.666667;0.75;1;0
a212;0.090909;0.615385;1;0.75;0.666667;1
a213;0.072727;0.320513;0.666667;0;0.333333;0
a214;0.090909;0.333333;1;1;0.666667;1
a215;0.072727;0.75641;1;0.75;0.666667;1
a216;0.072727;0.564103;0.333333;0.75;0.666667;0
a217;0.090909;0.794872;1;0.75;0.666667;1
a218;0.072727;0.192308;1;0.75;0.666667;0
a219;0.072727;0.410256;1;1;0.666667;1
a220;0.090909;0.358974;1;0.75;0.666667;1
a221;0.090909;0.397436;1;1;0.666667;1
a222;0.072727;0.448718;0;0;0.666667;0
a223;0.054545;0.358974;0.333333;0;0.333333;0
a224;0.072727;0.5;0;0;0.666667;0
a225;0.072727;0.461538;0.666667;0;0.666667;0
a226;0.036364;0.397436;0.333333;0;0.333333;0
a227;0.072727;0.371795;0.666667;0;0.666667;0
a228;0.072727;0.282051;0;0;0.666667;0
a229;0.072727;0.346154;0;0;0.666667;0
a230;0.072727;0.410256;1;1;0.666667;1
a231;0.090909;0.461538;1;0.75;0.666667;1
a232;0.072727;0.628205;1;0;0.666667;1
a233;0.072727;0.75641;1;0.75;0.666667;1
a234;0.072727;0.615385;1;0.5;0.666667;0
a235;0.072727;0.230769;0.333333;0.5;0.666667;0
a236;0.072727;0.653846;1;0.75;0.666667;0
a237;0.072727;0.384615;0;0;0.666667;0
a238;0.072727;0.589744;1;0.75;0.666667;1
a239;0.072727;0.679487;1;0.25;0.666667;1
a240;0.090909;0.538462;1;0.5;0.666667;1
a241;0.072727;0.076923;0;0;0.666667;0
a242;0.090909;0.205128;1;1;0.333333;1
a243;0.072727;0.782051;0;0;0.333333;0
a244;0.072727;0.346154;0;0;0.666667;0
a245;0.072727;0.24359;0.333333;0;0.333333;0
a246;0.072727;0.307692;0;0;0.333333;0
a247;0.072727;0.692308;1;0.75;0.666667;1
a248;0.090909;0.538462;1;1;0.666667;1
a249;0.090909;0.858974;0.666667;1;0.666667;1
a250;0.072727;0.423077;0;0;0.666667;0
a251;0.090909;0.461538;1;1;0.666667;1
a252;0.090909;0.474359;1;0.5;0.666667;1
a253;0.072727;0.589744;1;0.75;0.666667;0
a254;0.090909;0.628205;1;1;0.666667;1
a255;0.090909;0.730769;1;0.5;0.666667;1
a256;0.090909;0.884615;1;0.75;0.666667;1
a257;0.072727;0.358974;1;0.75;0.666667;1
a258;1;0.358974;1;0.5;0.666667;1
a259;0.090909;0.551282;0;0;0.666667;1
a260;0.072727;0.333333;0;0.75;0.666667;0
a261;0.072727;0.179487;0;0;0.666667;0
a262;0.072727;0.564103;0;0;0.666667;0
a263;0.090909;0.525641;1;1;0.666667;1
a264;0.072727;0.551282;1;0;0.666667;0
a265;0.090909;0.769231;1;0.75;0.666667;1
a266;0.090909;0.307692;1;1;0.666667;0
a267;0.072727;0.346154;0;0.25;0.666667;0
a268;0.090909;0.205128;0.333333;0;0.666667;1
a269;0.072727;0.115385;0.666667;0;0.666667;0
a270;0.072727;0.320513;0;0;0.666667;0
a271;0.090909;0.833333;1;0.75;0.666667;1
a272;0.072727;0.230769;0.333333;0;0.666667;0
a273;0.072727;0.24359;0.333333;0;0.666667;0
a274;0.072727;0.487179;0.666667;0;0.666667;1
a275;0.090909;0.474359;1;0.75;0.666667;1
a276;0.072727;0.897436;1;0.75;0.666667;1
a277;0.090909;0.679487;1;0.75;0.666667;1
a278;0.072727;0.294872;0.333333;0;0.666667;0
a279;0.090909;0.397436;1;0.75;0.666667;1
a280;0.054545;0.423077;0;0;1;0
a281;0.072727;0.269231;0;0.5;0.666667;0
a282;0.072727;0.358974;0.333333;0;0.666667;0
a283;0.090909;0.435897;1;0.75;0.666667;1
a284;0.090909;0.512821;1;0.75;0.666667;1
a285;0.072727;0.628205;1;1;0.666667;1
a286;0.090909;0.794872;1;0.75;0.666667;1
a287;0.072727;0.346154;0;0;0.666667;0
a288;0.090909;0.641026;1;0.75;0.666667;1
a289;0.072727;0.333333;0.333333;0.5;0.666667;0
a290;0.090909;0.717949;1;0.5;0.666667;1
a291;0.090909;0.474359;1;1;0.666667;0
a292;0.072727;0.397436;1;0.75;0.666667;1
a293;0.072727;0.397436;0;0;0.666667;0
a294;0.090909;0.410256;1;0.5;0.666667;1
a295;0.090909;0.435897;0.666667;1;0.666667;1
a296;0.072727;0.346154;0;0;0.666667;0
a297;0.072727;0.615385;0;0;0.666667;0
a298;0.072727;0.641026;1;0.75;0.666667;1
a299;0.072727;0.692308;0.333333;0;0.666667;0
a300;0.090909;0.717949;1;0.75;0.666667;1
a301;0.090909;0.512821;1;0.75;0.666667;1
a302;0.072727;0.75641;0.333333;0.5;0.666667;0
a303;0.072727;0.397436;0.666667;0;0.666667;0
a304;0.090909;0.538462;1;0.5;0.666667;1
a305;0.090909;0.653846;1;0.5;0.666667;1
a306;0.072727;0.448718;0.333333;0;0.666667;0
a307;0.054545;0.358974;0.666667;0.75;0.666667;0
a308;0.090909;0.717949;1;0.75;0.666667;1
a309;0.072727;0.512821;0;0;0.666667;0
a310;0.090909;0.641026;1;0.75;0.666667;1
a311;0.090909;0.358974;1;0.5;0.666667;0
a312;0.090909;0.551282;0.333333;0.75;0.666667;1
a313;0.090909;0.666667;1;0.5;0.666667;1
a314;0.090909;0.24359;1;0.75;0.666667;1
a315;0.054545;0.602564;1;1;0.666667;1
a316;0.072727;0.628205;1;0.75;0.666667;0
a317;0.090909;0.653846;0.666667;0.75;0.666667;0
a318;0.090909;0.74359;1;0.75;0.666667;1
a319;0.072727;0.602564;1;0.5;0.666667;0
a320;0.090909;0.692308;1;0.25;0.666667;1
a321;0.072727;0.564103;1;0.25;0.666667;0
a322;0.090909;0.307692;1;0.75;0.666667;1
a323;0.090909;0.615385;1;0.5;0.666667;1
a324;0.090909;0.384615;1;0.75;0.666667;1
a325;0.072727;0.217949;0;0;0.666667;0
a326;0.090909;0.538462;1;0.75;0.666667;1
a327;0.090909;0.628205;1;0.25;0.666667;1
a328;0.090909;0.769231;1;0.75;0.666667;1
a329;0.072727;0.615385;0;0;0.666667;1
a330;0.072727;0.384615;0;0;0.666667;0
a331;0.072727;0.166667;0;0;0.666667;0
a332;0.090909;0.320513;1;0.5;0.666667;1
a333;0.090909;0.692308;0.333333;0.75;0.666667;0
a334;0.090909;0.615385;0;0;0.666667;1
a335;0.072727;0.487179;1;0.75;0.666667;0
a336;0.090909;0.512821;1;1;0.666667;1
a337;0.090909;0.192308;0.333333;0.75;0.666667;1
a338;0.072727;0.24359;0;0;0.666667;0
a339;0.090909;0.230769;1;0.5;0.666667;1
a340;0.072727;0.269231;0.333333;0.5;0.666667;0
a341;0.072727;0.269231;1;0.75;0.666667;1
a342;0.090909;0.833333;1;0.75;0.666667;1
a343;0.072727;0.641026;1;1;0.666667;1
a344;0.090909;0.576923;0.666667;0.75;0.666667;1
a345;0.090909;0.769231;1;0.75;0.666667;1
a346;0.072727;0.25641;0.333333;0.5;0.666667;0
a347;0.090909;0.358974;1;0.5;0.666667;1
a348;0.090909;0.538462;1;0.75;0.666667;1
a349;0.090909;0.487179;0.333333;0.5;0.666667;1
a350;0.072727;0.192308;0;0;0.666667;0
a351;0.072727;0.653846;0;1;0.666667;1
a352;0.090909;0.615385;0;0.75;0.666667;1
a353;0.072727;0.692308;0;0.5;0.666667;0
a354;0.072727;0.141026;0;0;0.666667;0
a355;0.090909;0.461538;1;1;0.666667;1
a356;0.090909;0.794872;1;0.75;0.666667;1
a357;0.090909;0.641026;1;0.5;0.666667;1
a358;0.072727;0.217949;0.333333;0;0.666667;0
a359;0.072727;0.410256;0;0;0.666667;0
a360;0.072727;0.179487;1;0.5;0.666667;0
a361;0;0.653846;1;1;0.666667;1
a362;0.072727;0.679487;1;1;0.666667;1
a363;0.090909;0.884615;1;1;0.666667;1
a364;0.072727;0.589744;0;0;0.666667;0
a365;0.090909;0.474359;1;1;0.666667;1
a366;0.072727;0;0;0;0.666667;0
a367;0.072727;0.448718;0;0;0.666667;0
a368;0.090909;0.846154;1;1;0.666667;1
a369;0.090909;0.794872;1;0.5;0.666667;1
a370;0.072727;0.179487;0;0;0.666667;0
a371;0.090909;0.75641;0.666667;0.75;0.666667;1
a372;0.072727;0.25641;0;0;0.666667;0
a373;0.090909;0.461538;1;1;0.666667;1
a374;0.072727;0.576923;0;0;0.666667;0
a375;0.072727;0.551282;0;0;0.666667;0
a376;0.072727;0.435897;0;0;0.666667;0
a377;0.072727;0.230769;0;0;0.666667;0
a378;0.072727;0.525641;0;0;0.666667;0
a379;0.090909;0.423077;1;0.75;0.333333;1
a380;0.072727;0.230769;0;0;0.666667;0
a381;0.090909;0.282051;1;0.5;0.666667;1
a382;0.072727;0.397436;0;0;0.666667;0
a383;0.072727;0.24359;0.333333;0.5;0.666667;0
a384;0.072727;0.358974;0;0;0.666667;0
a385;0.072727;0.576923;0;0;0.666667;0
a386;0.072727;0.128205;0.333333;0;0.666667;0
a387;0.072727;0.371795;0.333333;0;0.666667;0
a388;0.072727;0.307692;0.333333;0;0.666667;1
a389;0.090909;0.333333;1;1;0.666667;1
a390;0.072727;0.397436;1;0.75;0.666667;0
a391;0.090909;0.371795;1;1;0.666667;1
a392;0.090909;0.435897;1;1;0.666667;1
a393;0.072727;0.448718;0;0;0.666667;1
a394;0.090909;0.833333;0.666667;0.5;0.666667;1
a395;0.090909;0.576923;1;0.75;0.666667;1
a396;0.072727;0.461538;0;0;0.666667;0
a397;0.072727;0.410256;1;0.75;0.666667;0
a398;0.090909;0.794872;1;1;0.666667;1
a399;0.090909;0.346154;0.333333;0.75;0.666667;0
a400;0.072727;0.128205;0.333333;0;0.666667;0
a401;0.072727;0.166667;0;0;0.666667;0
a402;0.072727;0.294872;0.333333;0;0.666667;0
a403;0.072727;0.038462;0.666667;0;0.666667;0
a404;0.090909;0.333333;0.666667;0.75;0.666667;1
a405;0.090909;0.397436;1;0.75;0.666667;1
a406;0.090909;0.679487;1;1;0.666667;1
a407;0.090909;0.730769;1;1;0.666667;1
a408;0.072727;0.25641;0.333333;0;0.666667;0
a409;0.072727;0.538462;0;0.5;0.666667;0
a410;0.090909;0.884615;1;1;0.666667;1
a411;0.072727;0.666667;1;0.75;0.666667;1
a412;0.090909;0.474359;1;1;0.666667;1
a413;0.054545;0.038462;0;0;0.666667;0
a414;0.072727;0.410256;0;0;0.666667;0
a415;0.090909;0.74359;1;1;0.666667;1
a416;0.072727;0.064103;0;0;0.666667;0
a417;0.090909;0.705128;1;1;0.666667;1
a418;0.072727;0.25641;0.333333;0.5;0.666667;0
a419;0.036364;0.5;0;0;0.666667;0
a420;0.090909;0.602564;1;1;0.666667;1
a421;0.090909;0.628205;0.333333;0.75;0.666667;1
a422;0.090909;0.551282;0.333333;0.75;0.666667;1
a423;0.090909;0.487179;1;0.75;0.666667;0
a424;0.090909;0.679487;0.333333;0.75;0.666667;1
a425;0.072727;0.397436;0.333333;0.25;0.666667;0
a426;0.072727;0.333333;0.333333;0;0.666667;0
a427;0;0.512821;1;0.75;0.666667;0
a428;0.072727;0.115385;0.333333;0;0.666667;0
a429;0.090909;0.705128;1;1;0.666667;1
a430;0.072727;0.205128;0.333333;0;0.666667;0
a431;0.072727;0.410256;0.333333;0;0.666667;1
a432;0.072727;0.564103;0.333333;0;0.666667;0
a433;0.054545;0.038462;0.666667;0;0.666667;0
a434;0.072727;0.230769;0.666667;0;0.666667;0
a435;0.072727;0.346154;0.333333;0;0.666667;1
a436;0.090909;0.628205;1;1;0.666667;1
a437;0.072727;0.038462;0;0;0.666667;0
a438;0.072727;0.5;0.333333;0;0.666667;0
a439;0.090909;0.615385;1;1;0.666667;1
a440;0.072727;0.679487;1;0.75;0.666667;1
a441;0.090909;0.653846;0.666667;0.75;0.666667;1
a442;0.109091;0.794872;1;1;0.666667;1
a443;0.054545;0.115385;0.333333;0;0.666667;0
a444;0.072727;0.25641;0.333333;0;0.666667;0
a445;0.072727;0.064103;0.333333;0;0.666667;0
a446;0.072727;0.358974;1;0.5;0.666667;0
a447;0.072727;0.551282;0.333333;0.5;0.666667;0
a448;0.090909;0.602564;1;1;0.666667;1
a449;0.072727;0.538462;1;0.5;0.666667;0
a450;0.090909;0.833333;1;1;0.666667;1
a451;0.090909;0.282051;1;0.75;0.666667;1
a452;0.072727;0.448718;0.666667;0.75;0.666667;0
a453;0.072727;0.74359;1;0.75;0.666667;0
a454;0.090909;0.782051;0;0.75;0.666667;1
a455;0.090909;0.25641;0.333333;0.75;0.666667;1
a456;0.072727;0.551282;0.666667;0.75;0.666667;0
a457;0.072727;0.487179;0.333333;0;0.666667;0
a458;0.072727;0.333333;0.333333;0;0.666667;0
a459;0.072727;0.615385;0.666667;0.5;0.666667;0
a460;0.072727;0.410256;0.666667;0.5;0.666667;0
a461;0.072727;0.358974;0;0;0.666667;0
a462;0.072727;0.269231;0;0;0.666667;0
a463;0.090909;0.474359;1;1;0.666667;1
a464;0.072727;0.282051;0.333333;0;0.666667;0
a465;0.072727;0.102564;0;0;0.666667;0
a466;0.090909;0.846154;0.666667;0.25;0.666667;1
a467;0.072727;0.294872;0.333333;0.25;0.666667;0
a468;0.072727;0.576923;0;0;0.666667;0
a469;0.072727;0.397436;0;0;0.666667;0
a470;0.072727;0.487179;0.333333;0.25;0.666667;1
a471;0.090909;0.602564;1;0.75;0.666667;0
a472;0.072727;0.461538;0;0;0.666667;0
a473;0.072727;0.230769;0;0;0.666667;0
a474;0.090909;0.397436;1;0.75;0.666667;0
a475;0.072727;0.525641;1;0.75;0.666667;1
a476;0.090909;0.730769;1;0.75;0.666667;1
a477;0.090909;0.525641;1;0.25;0.666667;0
a478;0.090909;0.525641;1;0.75;0.666667;1
a479;0.072727;0.128205;1;0.75;0.666667;1
a480;0.090909;0.448718;1;1;0.666667;0
a481;0.090909;0.5;1;0.75;0.666667;0
a482;0.090909;0.75641;1;0.5;1;0
a483;0.090909;0.858974;1;0.5;0.666667;1
a484;0.072727;0.525641;1;0.75;0.666667;0
a485;0.090909;0.525641;0;1;0.666667;1
a486;0.072727;0.602564;0.666667;0.5;0.666667;1
a487;0.072727;0.461538;0.333333;0;0.666667;0
a488;0.090909;0.358974;1;1;0.666667;1
a489;0.072727;0.576923;1;0.75;0.666667;1
a490;0.072727;0.448718;0;0;0.666667;1
a491;0.072727;0.487179;0;0;0.666667;0
a492;0.090909;0.615385;1;0.75;0.666667;1
a493;0.090909;0.615385;1;1;0.666667;1
a494;0.072727;0.474359;0;0;0.666667;0
a495;0.072727;0.333333;0;0;0.666667;0
a496;0.090909;0.871795;0.666667;0.75;0.666667;1
a497;0.090909;0.371795;1;1;0.666667;1
a498;0.090909;0.525641;1;1;0.666667;1
a499;0.090909;0.615385;1;1;0.666667;0
a500;0.090909;0.551282;1;0.5;0.666667;1
a501;0.072727;0.653846;0;0;0.666667;0
a502;0.090909;0.961538;0;1;0.666667;1
a503;0.072727;0.269231;0;0.5;0.666667;0
a504;0.090909;0.333333;1;1;0.666667;1
a505;0.072727;0.346154;0.333333;0.25;0.666667;0
a506;0.072727;0.423077;0.666667;0.75;0.666667;0
a507;0.072727;0.487179;0.333333;0.75;0.666667;0
a508;0.072727;0.615385;1;0.75;0.666667;0
a509;0.090909;0.551282;1;1;0.666667;1
a510;0.072727;0.589744;0.666667;0.5;0.666667;1
a511;0.090909;0.5;0.333333;0.75;0.666667;0
a512;0.090909;0.782051;1;0.75;0.666667;1
a513;0.072727;0.333333;1;0;0;0
a514;0.072727;0.166667;0.333333;0;0.666667;0
a515;0.072727;0.576923;1;0.75;0.666667;0
a516;0.072727;0.589744;0;0;0.666667;0
a517;0.090909;0.371795;1;1;0.666667;0
a518;0.090909;0.641026;1;1;0.666667;1
a519;0.072727;0.153846;0;0;0.666667;0
a520;0.090909;0.320513;1;1;0.666667;1
a521;0.072727;0.487179;0;0;0.666667;0
a522;0.072727;0.358974;0.333333;0;0.666667;0
a523;0.072727;0.628205;0.333333;0;0.666667;0
a524;0.090909;0.435897;1;1;0.666667;1
a525;0.072727;0.628205;1;0.75;0.666667;1
a526;0.072727;0.371795;0.333333;0;0.666667;0
a527;0.090909;0.512821;1;1;0.666667;1
a528;0.072727;0.128205;0.333333;0;0.666667;0
a529;0.072727;0.320513;0;0;0.666667;0
a530;0.072727;0.5;0.333333;0.75;0.666667;0
a531;0.090909;0.641026;1;1;0.666667;1
a532;0.072727;0.589744;0.333333;0.75;0.666667;0
a533;0.072727;0.589744;0.333333;0.75;0.666667;0
a534;0.090909;0.564103;1;0.75;0.666667;1
a535;0.072727;0.25641;1;0;0.666667;0
a536;0.090909;0.641026;1;0.75;0.666667;1
a537;0.072727;0.294872;0.333333;0;0.666667;0
a538;0.072727;0.217949;0.333333;0;0.666667;1
a539;0.072727;0.641026;0.333333;0;0.666667;0
a540;0.090909;0.474359;1;0.75;0.666667;1
a541;0.090909;0.628205;1;0.75;0.666667;1
