criterion;direction;;;;;
a59;0.303797;0.461802;0.210526;0.054602;1;4
a60;0.013528;0.174838;0.042105;0.015601;0.626866;1
a61;0.039424;0.142151;0.170526;0.082683;0.208955;2
a62;0.000097;0.188141;0;0.025741;0.059701;2
a63;0.116146;0.204105;0.222105;0.066303;0.910448;3
a64;0.075949;0.206385;0.16;0.129485;0.761194;3
a65;0.005894;0.077157;0;0.015601;1;2
a66;0.015944;0;0;0.00312;1;2
a67;0.007344;0.131129;0.028421;0.054602;0.223881;2
a68;0.001063;0.172558;0.085263;0.024961;0;2
a69;0.019326;0.158495;0.147368;0.029641;0.477612;3
a70;0.126389;0.098442;0.033684;0.020281;1;2
a71;0.093246;0.144052;0.052632;0.042902;1;2
a72;0.705286;0.480806;0.249474;0.147426;0.985075;4
a73;0.069185;0.102623;0.024211;0.064743;1;2
a74;0.069765;0.348917;0.128421;0.034321;0.671642;4
a75;0.020775;0.101482;0;0.057722;0.58209;2
a76;0.029568;0.09312;0.081053;0.056942;0.925373;2
a77;0.067833;0.171038;0.025263;0.028081;1;2
a78;0.012465;0.082478;0.030526;0.022621;0.567164;1
a79;0.031791;0.016724;0;0.023401;0.850746;1
a80;0.175959;0.288103;0.078947;0.078783;1;4
a81;0.020388;0.116306;0.177895;0.060842;0.41791;2
a82;0.032853;0.185861;0.035789;0.042122;0.626866;3
a83;0.457146;0.59141;0.392632;0.048362;1;4
a84;0.157696;0.263398;0.115789;0.074103;1;3
a85;0.068896;0.125428;0.027368;0.025741;1;3
a86;0.121461;0.383884;0.191579;0.030421;1;4
a87;0.261088;0.334854;0.142105;0.070983;1;4
a88;0.458885;0.198404;0.16;0.436037;0.970149;3
a89;0.019712;0.18016;0.175789;0.033541;0.597015;3
a90;0.026766;0.312809;0.350526;0.014821;0.776119;3
a91;0.111605;0.223869;0.06;0.063963;0.985075;3
a92;0.033916;0.284683;0.081053;0.00624;1;1
a93;0.012755;0.093881;0.131579;0.027301;0.626866;3
a94;0.117403;0.237552;0.214737;0.072543;1;3
a95;0.146681;0.345496;0.236842;0.051482;1;3
a96;0.015557;0.251995;0.189474;0.035101;0.343284;3
a97;0.045898;0.311669;0.078947;0.058502;0.089552;3
a98;0.469031;0.375903;0.173684;0.194228;1;4
a99;0.19857;0.374002;0.281053;0.031201;1;4
a100;0.005894;0.218928;0.145263;0.018721;0.134328;3
a101;0.048604;0.386545;0.204211;0.024181;0.716418;3
a102;0.439753;0.298366;0.208421;0.200468;1;4
a103;0.021161;0.280502;0.194737;0.017161;0.432836;3
a104;0.094985;0.150133;0.112632;0.054602;1;2
a105;0.003575;0.147092;0.032632;0.046022;0.119403;2
a106;0.007344;0.114025;0.096842;0.063963;0.343284;2
a107;0.024737;0.066515;0.08;0.047582;0.671642;2
a108;0.002706;0.098442;0.114737;0.031981;0.238806;2
a109;1;0.290384;0.221053;1;0.835821;3
a110;0.030728;0.062334;0;0.021061;1;2
a111;0.093052;0.101482;0.102105;0.124805;0.925373;2
a112;0.047348;0.187761;0.134737;0.026521;1;3
a113;0.165716;0.212087;0.245263;0.200468;0.925373;2
a114;0.123973;0.190422;0.055789;0.055382;1;3
a115;0.128998;0.719118;0.835789;0.022621;0.865672;4
a116;0.017683;0.117826;0.029474;0.024181;0.373134;2
a117;0.008503;0.354238;0.407368;0.020281;0.119403;4
a118;0.009953;0.023945;0.030526;0.075663;0.41791;2
a119;0.210745;0.237552;0.104211;0.074883;1;3
a120;0.063968;0.129609;0.162105;0.036661;1;3
a121;0.024157;0.100722;0;0;0.80597;3
a122;0.39714;0.22577;0.174737;0.287051;0.910448;3
a123;0.003865;0.087039;0.023158;0.031201;0.507463;2
a124;0.083583;0.079057;0.104211;0.059282;1;2
a125;0.049667;0.099582;0.183158;0.014041;1;2
a126;0.01604;0.077537;0.153684;0.060062;0.19403;2
a127;0.00715;0.079437;0.103158;0.035881;0.283582;2
a128;0.088414;0.054352;0.058947;0.149766;1;1
a129;0.060875;0.22577;0.035789;0.063963;0.58209;3
a130;0.385255;0.292284;0.208421;0.082683;1;4
a131;0.105324;0.116686;0.163158;0.096724;1;2
a132;0.281863;0.217408;0.128421;0.104524;1;3
a133;0.134216;0.711897;0.526316;0.013261;1;4
a134;0.05759;0.146712;0.087368;0.024181;1;3
a135;0.047058;0.104143;0.071579;0.053822;1;2
a136;0.046285;0.234512;0.164211;0.021061;1;3
a137;0.006667;0.063474;0;0.036661;0.373134;3
a138;0.447096;0.375903;0.162105;0.375195;0.671642;2
a139;0.656778;0.156594;0.162105;0.366615;1;2
a140;0.051309;0.223489;0.191579;0.030421;0.686567;2
a141;0.003189;0.068415;0;0.01092;0.970149;2
a142;0.041163;0.098442;0.04;0.036661;1;3
a143;0.24901;0.127328;0.141053;0.083463;1;3
a144;0.002029;0.094261;0.065263;0.033541;0.313433;2
a145;0.023287;0.151653;0.188421;0.026521;0.671642;3
a146;0.773795;0.27214;0.355789;0.201248;1;2
a147;0.031114;0.160015;0.16;0.031981;1;2
a148;0.012755;0.049411;0.053684;0.026521;1;2
a149;0.227268;0.423033;0.168421;0.035101;1;4
a150;0.005604;0.172558;0.131579;0.00858;0.462687;2
a151;0.031114;0.069935;0.083158;0.045242;1;1
a152;0.047831;0.174078;0.043158;0.034321;1;2
a153;0.07363;0.191562;0.031579;0.021841;1;3
a154;0.003575;0.124287;0.322105;0.034321;0.208955;2
a155;0.045995;0.295705;0.233684;0.017161;0.925373;3
a156;0.051696;0.060433;0.064211;0.085023;1;2
a157;0.170258;0.076397;0.103158;0.043682;1;2
a158;0.156537;0.095401;0.116842;0.059282;1;2
a159;0.079041;0.099962;0.06;0.119345;0.850746;2
a160;0.026766;0.073356;0.056842;0.053822;0.925373;2
a161;0.023191;0.215507;0.047368;0.013261;0.895522;3
a162;0.08281;0.215127;0.053684;0.056942;1;4
a163;0.268142;0.384265;0.425263;0.040562;1;4
a164;0.057977;0.038008;0.102105;0.084243;1;1
a165;0.139144;0.174838;0.084211;0.074103;1;3
a166;0.015267;0.127708;0.009474;0.081123;0.253731;2
a167;0.0401;0.128468;0;0.013261;1;3
a168;0.025993;0.148993;0.030526;0.023401;0.970149;2
a169;0.13982;0.222349;0.228421;0.014041;1;3
a170;0.097787;0.141391;0.112632;0.228549;0.567164;2
a171;0.010919;0.233751;0.058947;0.024181;0.671642;3
a172;0.018359;0.202585;0.127368;0.021841;0.328358;2
